// Вміст цього файлу націлений на використання в "*.rulePack.rulesStrings".

// Використання: 
//    <li>TalkTopicLight->[Animal]</li> -> <li>TalkTopicLight->{lookup: [Animal]; Rules; 1-12}}</li>
// Множина починається з 6-го індексу.
// Індекс 0 використовується для пошуку рядка. Його не потрібно використовувати.


// 0              ; 1             ; 2               ; 3               ; 4             ; 5              ; 6               ; 7              ;  8               ; 9                ; 10             ; 11              ;
// Називний однина; Родовий однина; Давальний однина; Знахідний однина; Орудний однина; Місцевий однина; Називний множина; Родовий множина; Давальний множина; Знахідний множина; Орудний множина; Місцевий множина;


// [Animals]
// 0            ; 1                ; 2                  ; 3                ; 4                ; 5                  ; 6              ; 7                ; 8                ; 9                ; 10                 ; 11               ;
мораль багатства            ; моралі багатства            ; моралі багатства            ; мораль багатства            ; мораллю багатства            ; моралі багатства            ;
смерть                      ; смерті                      ; смерті                      ; смерть                      ; смертю                       ; смерті                      ; смерті        ; смертей        ; смертям        ; смерті        ; смертями        ; смертях        ;
невідворотність смерті      ; невідворотності смерті      ; невідворотності смерті      ; невідворотність смерті      ; невідворотністю смерті       ; невідворотності смерті      ;
звільнення смерті           ; звільнення смерті           ; звільненню смерті           ; звільнення смерті           ; звільненням смерті           ; звільненні смерті           ;
життя після смерті          ; життя після смерті          ; життю після смерті          ; життя після смерті          ; життям після смерті          ; житті після смерті          ;
померлі близькі             ; померлих близьких           ; померлим близьким           ; померлі близькі             ; померлими близькими          ; померлих близьких           ;
відсутні друзі              ; відсутніх друзів            ; відсутнім друзям            ; відсутні друзі              ; відсутніми друзями           ; відсутніх друзях            ;
благодійність               ; благодійності               ; благодійності               ; благодійність               ; благодійністю                ; благодійності               ; благодійності ; благодійностей ; благодійностям ; благодійності ; благодійностями ; благодійностях ;
філантропія                 ; філантропії                 ; філантропії                 ; філантропію                 ; філантропією                 ; філантропії                 ; філантропії   ; філантропій    ; філантропіям   ; філантропії   ; філантропіями   ; філантропіях   ;
допомога пригнобленим       ; допомоги пригнобленим       ; допомозі пригнобленим       ; допомогу пригнобленим       ; допомогою пригнобленим       ; допомозі пригнобленим       ;
допомога хворим             ; допомоги хворим             ; допомозі хворим             ; допомогу хворим             ; допомогою хворим             ; допомозі хворим             ;
допомога бідним             ; допомоги бідним             ; допомозі бідним             ; допомогу бідним             ; допомогою бідним             ; допомозі бідним             ;
інопланетяни                ; інопланетян                 ; інопланетянам               ; інопланетян                 ; інопланетянами               ; інопланетянах               ;
контакт з інопланетянами    ; контакту з інопланетянами   ; контакту з інопланетянами   ; контакт з інопланетянами    ; контактом з інопланетянами   ; контакті з інопланетянами   ;
змови інопланетян           ; змов інопланетян            ; змовам інопланетян          ; змови інопланетян           ; змовами інопланетян          ; змовах інопланетян          ;
відсутність інопланетян     ; відсутності інопланетян     ; відсутності інопланетян     ; відсутність інопланетян     ; відсутністю інопланетян      ; відсутності інопланетян     ;
урядові змови               ; урядових змов               ; урядовим змовам             ; урядові змови               ; урядовими змовами            ; урядових змовах             ;
релігійні змови             ; релігійних змов             ; релігійним змовам           ; релігійні змови             ; релігійними змовами          ; релігійних змовах           ;
зірки                       ; зірок                       ; зіркам                      ; зірки                       ; зірками                      ; зірках                      ;
інші планети                ; інших планет                ; іншим планетам              ; інші планети                ; іншими планетами             ; інших планетах              ;
ця планета                  ; цієї планети                ; цій планеті                 ; цю планету                  ; цією планетою                ; цій планеті                 ;
масштаб всесвіту            ; масштабу всесвіту           ; масштабу всесвіту           ; масштаб всесвіту            ; масштабом всесвіту           ; масштабі всесвіту           ;
вік всесвіту                ; віку всесвіту               ; віку всесвіту               ; вік всесвіту                ; віком всесвіту               ; віці всесвіту               ;
доля всесвіту               ; долі всесвіту               ; долі всесвіту               ; долю всесвіту               ; долею всесвіту               ; долі всесвіту               ;
поширення людини у всесвіті ; поширення людини у всесвіті ; поширенню людини у всесвіті ; поширення людини у всесвіті ; поширенням людини у всесвіті ; поширенні людини у всесвіті ;
примітивізм                 ; примітивізму                ; примітивізму                ; примітивізм                 ; примітивізмом                ; примітивізмі                ;
луддизм                     ; луддизму                    ; луддизму                    ; луддизм                     ; луддизмом                    ; луддизмі                    ;
технологія                  ; технології                  ; технології                  ; технологію                  ; технологією                  ; технології                  ; технології    ; технологій     ; технологіям    ; технології    ; технологіями    ; технологіях    ;
машинний інтелект           ; машинного інтелекту         ; машинному інтелекту         ; машинний інтелект           ; машинним інтелектом          ; машинному інтелекті         ;
штучний інтелект            ; штучного інтелекту          ; штучному інтелекту          ; штучний інтелект            ; штучним інтелектом           ; штучному інтелекті          ;
комп'ютерні технології      ; комп'ютерних технологій     ; комп'ютерним технологіям    ; комп'ютерні технології      ; комп'ютерними технологіями   ; комп'ютерних технологіях    ;
збройні технології          ; збройних технологій         ; збройним технологіям        ; збройні технології          ; збройними технологіями       ; збройних технологіях        ;
суспільство                 ; суспільства                 ; суспільству                 ; суспільство                 ; суспільством                 ; суспільстві                 ; суспільства   ; суспільств     ; суспільствам   ; суспільства   ; суспільствами   ; суспільствах   ;
мораль                      ; моралі                      ; моралі                      ; мораль                      ; мораллю                      ; моралі                      ; моралі        ; моралей        ; моралям        ; моралі        ; моралями        ; моралях        ;
свобода                     ; свободи                     ; свободі                     ; свободу                     ; свободою                     ; свободі                     ; свободи       ; свобод         ; свободам       ; свободи       ; свободами       ; свободах       ;
закон                       ; закону                      ; закону                      ; закон                       ; законом                      ; законі                      ; закони        ; законів        ; законам        ; закони        ; законами        ; законах        ;
уряд                        ; уряду                       ; уряду                       ; уряд                        ; урядом                       ; уряді                       ; уряди         ; урядів         ; урядам         ; уряди         ; урядами         ; урядах         ;
права                       ; прав                        ; правам                      ; права                       ; правами                      ; правах                      ;
історія                     ; історії                     ; історії                     ; історію                     ; історією                     ; історії                     ; історії       ; історій        ; історіям       ; історії       ; історіями       ; історіях       ;
терор                       ; терору                      ; терору                      ; терор                       ; терором                      ; терорі                      ;
тероризм                    ; тероризму                   ; тероризму                   ; тероризм                    ; тероризмом                   ; тероризмі                   ;
політика                    ; політики                    ; політиці                    ; політику                    ; політикою                    ; політиці                    ; політики      ; політик        ; політикам      ; політики      ; політиками      ; політиках      ;
честь                       ; честі                       ; честі                       ; честь                       ; честю                        ; честі                       ; честі         ; честей         ; честям         ; честі         ; честями         ; честях         ;
соціальні проблеми          ; соціальних проблем          ; соціальним проблемам        ; соціальні проблеми          ; соціальними проблемами       ; соціальних проблемах        ;
ринок                       ; ринку                       ; ринку                       ; ринок                       ; ринком                       ; ринку                       ; ринки         ; ринків         ; ринкам         ; ринки         ; ринками         ; ринках         ;
авторитаризм                ; авторитаризму               ; авторитаризму               ; авторитаризм                ; авторитаризмом               ; авторитаризмі               ;
анархія                     ; анархії                     ; анархії                     ; анархію                     ; анархією                     ; анархії                     ; анархії       ; анархій        ; анархіям       ; анархії       ; анархіями       ; анархіях       ;
несправедливість            ; несправедливості            ; несправедливості            ; несправедливість            ; несправедливістю             ; несправедливості            ;
справедливість              ; справедливості              ; справедливості              ; справедливість              ; справедливістю               ; справедливості              ;
істина                      ; істини                      ; істині                      ; істину                      ; істиною                      ; істині                      ; істини        ; істин          ; істинам        ; істини        ; істинами        ; істинах        ;
трайбалізм                  ; трайбалізму                 ; трайбалізму                 ; трайбалізм                  ; трайбалізмом                 ; трайбалізмі                 ;
перевага своєї групи        ; переваги своєї групи        ; перевазі своєї групи        ; перевагу своєї групи        ; перевагою своєї групи        ; перевазі своєї групи        ;
філософія                   ; філософії                   ; філософії                   ; філософію                   ; філософією                   ; філософії                   ; філософії     ; філософій      ; філософіям     ; філософії     ; філософіями     ; філософіях     ;
реальність                  ; реальності                  ; реальності                  ; реальність                  ; реальністю                   ; реальності                  ; реальності    ; реальностей    ; реальностям    ; реальності    ; реальностями    ; реальностях    ;
культура                    ; культури                    ; культурі                    ; культуру                    ; культурою                    ; культурі                    ; культури      ; культур        ; культурам      ; культури      ; культурами      ; культурах      ;
культурні відмінності       ; культурних відмінностей     ; культурним відмінностям     ; культурні відмінності       ; культурними відмінностями    ; культурних відмінностях     ;
культурний шок              ; культурного шоку            ; культурному шоку            ; культурний шок              ; культурним шоком             ; культурному шоці            ;
людська природа             ; людської природи            ; людській природі            ; людську природу             ; людською природою            ; людській природі            ;
людство                     ; людства                     ; людству                     ; людство                     ; людством                     ; людстві                     ;
релігія                     ; релігії                     ; релігії                     ; релігію                     ; релігією                     ; релігії                     ; релігії       ; релігій        ; релігіям       ; релігії       ; релігіями       ; релігіях       ;
сенс життя                  ; сенсу життя                 ; сенсу життя                 ; сенс життя                  ; сенсом життя                 ; сенсі життя                 ;
ідентичність                ; ідентичності                ; ідентичності                ; ідентичність                ; ідентичністю                 ; ідентичності                ;
вічність                    ; вічності                    ; вічності                    ; вічність                    ; вічністю                     ; вічності                    ;
монізм                      ; монізму                     ; монізму                     ; монізм                      ; монізмом                     ; монізмі                     ;
дуалізм                     ; дуалізму                    ; дуалізму                    ; дуалізм                     ; дуалізмом                    ; дуалізмі                    ;
епістемологія               ; епістемології               ; епістемології               ; епістемологію               ; епістемологією               ; епістемології               ;
чесність                    ; чесності                    ; чесності                    ; чесність                    ; чесністю                     ; чесності                    ;
свобода слова               ; свободи слова               ; свободі слова               ; свободу слова               ; свободою слова               ; свободі слова               ;
етнічна приналежність       ; етнічної приналежності      ; етнічній приналежності      ; етнічну приналежність       ; етнічною приналежністю       ; етнічній приналежності      ;
лібералізм                  ; лібералізму                 ; лібералізму                 ; лібералізм                  ; лібералізмом                 ; лібералізмі                 ;
невідворотність страждання  ; невідворотності страждання  ; невідворотності страждання  ; невідворотність страждання  ; невідворотністю страждання   ; невідворотності страждання  ;
природа знання              ; природи знання              ; природі знання              ; природу знання              ; природою знання              ; природі знання              ;
природа емоцій              ; природи емоцій              ; природі емоцій              ; природу емоцій              ; природою емоцій              ; природі емоцій              ;
доля                        ; долі                        ; долі                        ; долю                        ; долею                        ; долі                        ;
доля людства                ; долі людства                ; долі людства                ; долю людства                ; долею людства                ; долі людства                ;
доля всесвіту               ; долі всесвіту               ; долі всесвіту               ; долю всесвіту               ; долею всесвіту               ; долі всесвіту               ;
мистецтво                   ; мистецтва                   ; мистецтву                   ; мистецтво                   ; мистецтвом                   ; мистецтві                   ;
мистецькі напрямки          ; мистецьких напрямків        ; мистецьким напрямкам        ; мистецькі напрямки          ; мистецькими напрямками       ; мистецьких напрямках        ;
мистецькі амбіції           ; мистецьких амбіцій          ; мистецьким амбіціям         ; мистецькі амбіції           ; мистецькими амбіціями        ; мистецьких амбіціях         ;
людська естетика            ; людської естетики           ; людській естетиці           ; людську естетику            ; людською естетикою           ; людській естетиці           ;
мистецькі інстинкти         ; мистецьких інстинктів       ; мистецьким інстинктам       ; мистецькі інстинкти         ; мистецькими інстинктами      ; мистецьких інстинктах       ;
історія мистецтва           ; історії мистецтва           ; історії мистецтва           ; історію мистецтва           ; історією мистецтва           ; історії мистецтва           ;
любов                       ; любові                      ; любові                      ; любов                       ; любов'ю                      ; любові                      ;
романтика                   ; романтики                   ; романтиці                   ; романтику                   ; романтикою                   ; романтиці                   ;
сексуальність               ; сексуальності               ; сексуальності               ; сексуальність               ; сексуальністю                ; сексуальності               ;
сексуальна мораль           ; сексуальної моралі          ; сексуальній моралі          ; сексуальну мораль           ; сексуальною мораллю          ; сексуальній моралі          ;
мужність                    ; мужності                    ; мужності                    ; мужність                    ; мужністю                     ; мужності                    ;
жіночність                  ; жіночності                  ; жіночності                  ; жіночність                  ; жіночністю                   ; жіночності                  ;
самовідтворювані машини     ; самовідтворюваних машин     ; самовідтворюваним машинам   ; самовідтворювані машини     ; самовідтворюваними машинами  ; самовідтворюваних машинах   ;
кораблі поколінь            ; кораблів поколінь           ; кораблям поколінь           ; кораблі поколінь            ; кораблями поколінь           ; кораблях поколінь           ;
зонди фон Неймана           ; зондів фон Неймана          ; зондам фон Неймана          ; зонди фон Неймана           ; зондами фон Неймана          ; зондах фон Неймана          ;
архотехнології              ; архотехнологій              ; архотехнологіям             ; архотехнології              ; архотехнологіями             ; архотехнологіях             ;
архотехи                    ; архотехів                   ; архотехам                   ; архотехів                   ; архотехами                   ; архотехах                   ;
машинні особистості         ; машинних особистостей       ; машинним особистостям       ; машинні особистості         ; машинними особистостями      ; машинних особистостях       ;
двигун Джонсона-Танаки      ; двигуна Джонсона-Танаки     ; двигуну Джонсона-Танаки     ; двигун Джонсона-Танаки      ; двигуном Джонсона-Танаки     ; двигуні Джонсона-Танаки     ;
Ордо Історія                ; Ордо Історії                ; Ордо Історії                ; Ордо Історію                ; Ордо Історією                ; Ордо Історії                ;
стара Земля                 ; старої Землі                ; старій Землі                ; стару Землю                 ; старою Землею                ; старій Землі                ;
окраїнні світи              ; окраїнних світів            ; окраїнним світам            ; окраїнні світи              ; окраїнними світами           ; окраїнних світах            ;
центральні світи            ; центральних світів          ; центральним світам          ; центральні світи            ; центральними світами         ; центральних світах          ;
кріптосон                   ; кріптосну                   ; кріптосну                   ; кріптосон                   ; кріптосном                   ; кріптосні                   ;
кріптосонні гробниці        ; кріптосонних гробниць       ; кріптосонним гробницям      ; кріптосонні гробниці        ; кріптосонними гробницями     ; кріптосонних гробницях      ;
механоїди                   ; механоїдів                  ; механоїдам                  ; механоїди                   ; механоїдами                  ; механоїдах                  ;
канібалізм                  ; канібалізму                 ; канібалізму                 ; канібалізм                  ; канібалізмом                 ; канібалізмі                 ;
// From "RulePacks_Global.xml"
секс                        ; сексу                       ; сексу                       ; секс                        ; сексом                       ; сексі                       ;
спокуса                     ; спокуси                     ; спокусі                     ; спокусу                     ; спокусою                     ; спокусі                     ; спокуси           ; спокус              ; спокусам            ; спокуси           ; спокусами             ; спокусах            ;
сексуальність тварин        ; сексуальності тварин        ; сексуальності тварин        ; сексуальність тварин        ; сексуальністю тварин         ; сексуальності тварин        ;
сексуальний фетиш           ; сексуального фетишу         ; сексуальному фетишу         ; сексуальний фетиш           ; сексуальним фетишем          ; сексуальному фетиші         ; сексуальні фетиші ; сексуальних фетишів ; сексуальним фетишам ; сексуальні фетиші ; сексуальними фетишами ; сексуальних фетишах ;

// [TalkTopics_Light]
// 0                   ; 1                       ; 2                       ; 3                      ; 4                        ; 5                       ; 6        ; 7         ; 8         ; 9        ; 10         ; 11        ;
погода                 ; погоди                  ; погоді                  ; погоду                 ; погодою                  ; погоді                  ;
пластівці              ; пластівців              ; пластівцям              ; пластівці              ; пластівцями              ; пластівцях              ;
сніданок               ; сніданку                ; сніданку                ; сніданок               ; сніданком                ; сніданку                ; сніданки ; сніданків ; сніданкам ; сніданки ; сніданками ; сніданках ;
обід                   ; обіду                   ; обіду                   ; обід                   ; обідом                   ; обіді                   ; обіди    ; обідів    ; обідам    ; обіди    ; обідами    ; обідах    ;
їжа                    ; їжі                     ; їжі                     ; їжу                    ; їжею                     ; їжі                     ;
час обіду              ; часу обіду              ; часу обіду              ; час обіду              ; часом обіду              ; часі обіду              ;
харчові звички         ; харчових звичок         ; харчовим звичкам        ; харчові звички         ; харчовими звичками       ; харчових звичках        ;
солоні страви          ; солоних страв           ; солоним стравам         ; солоні страви          ; солоними стравами        ; солоних стравах         ;
солодкі страви         ; солодких страв          ; солодким стравам        ; солодкі страви         ; солодкими стравами       ; солодких стравах        ;
пікантні страви        ; пікантних страв         ; пікантним стравам       ; пікантні страви        ; пікантними стравами      ; пікантних стравах       ;
гіркі страви           ; гірких страв            ; гірким стравам          ; гіркі страви           ; гіркими стравами         ; гірких стравах          ;
улюблені стрижки       ; улюблених стрижок       ; улюбленим стрижкам      ; улюблені стрижки       ; улюбленими стрижками     ; улюблених стрижках      ;
улюблений одяг         ; улюбленого одягу        ; улюбленому одягу        ; улюблений одяг         ; улюбленим одягом         ; улюбленому одязі        ;
зачіски                ; зачісок                 ; зачіскам                ; зачіски                ; зачісками                ; зачісках                ;
мода                   ; моди                    ; моді                    ; моду                   ; модою                    ; моді                    ;
макіяж                 ; макіяжу                 ; макіяжу                 ; макіяж                 ; макіяжем                 ; макіяжі                 ;
бороди                 ; бород                   ; бородам                 ; бороди                 ; бородами                 ; бородах                 ;
волосся на обличчі     ; волосся на обличчі      ; волоссю на обличчі      ; волосся на обличчі     ; волоссям на обличчі      ; волоссі на обличчі      ;
випадкові роботи       ; випадкових робіт        ; випадковим роботам      ; випадкові роботи       ; випадковими роботами     ; випадкових роботах      ;
дитячі ігри            ; дитячих ігор            ; дитячим іграм           ; дитячі ігри            ; дитячими іграми          ; дитячих іграх           ;
розваги                ; розваг                  ; розвагам                ; розваги                ; розвагами                ; розвагах                ;
ігри                   ; ігор                    ; іграм                   ; ігри                   ; іграми                   ; іграх                   ;
дні народження         ; днів народження         ; дням народження         ; дні народження         ; днями народження         ; днях народження         ;
кульки                 ; кульок                  ; кулькам                 ; кульки                 ; кульками                 ; кульках                 ;
сп'яніння              ; сп'яніння               ; сп'янінню               ; сп'яніння              ; сп'янінням               ; сп'янінні               ;
пиятство               ; пиятства                ; пиятству                ; пиятство               ; пиятством                ; пиятстві                ;
вечірки                ; вечірок                 ; вечіркам                ; вечірки                ; вечірками                ; вечірках                ;
відпустки              ; відпусток               ; відпусткам              ; відпустки              ; відпустками              ; відпустках              ;
красиві люди           ; красивих людей          ; красивим людям          ; красиві люди           ; красивими людьми         ; красивих людях          ;
товсті люди            ; товстих людей           ; товстим людям           ; товсті люди            ; товстими людьми          ; товстих людях           ;
високі люди            ; високих людей           ; високим людям           ; високі люди            ; високими людьми          ; високих людях           ;
низькі люди            ; низьких людей           ; низьким людям           ; низькі люди            ; низькими людьми          ; низьких людях           ;
гріховні задоволення   ; гріховних задоволень    ; гріховним задоволенням  ; гріховні задоволення   ; гріховними задоволеннями ; гріховних задоволеннях  ;
блювання               ; блювання                ; блюванню                ; блювання               ; блюванням                ; блюванні                ;
їжа                    ; їжі                     ; їжі                     ; їжу                    ; їжею                     ; їжі                     ;
плавання               ; плавання                ; плаванню                ; плавання               ; плаванням                ; плаванні                ;
спорт                  ; спорту                  ; спорту                  ; спорт                  ; спортом                  ; спорті                  ;
пляжі                  ; пляжів                  ; пляжам                  ; пляжі                  ; пляжами                  ; пляжах                  ;
тварини                ; тварин                  ; тваринам                ; тварини                ; тваринами                ; тваринах                ;
милі тварини           ; милих тварин            ; милим тваринам          ; милі тварини           ; милими тваринами         ; милих тваринах          ;
товсті тварини         ; товстих тварин          ; товстим тваринам        ; товсті тварини         ; товстими тваринами       ; товстих тваринах        ;
домашні тварини        ; домашніх тварин         ; домашнім тваринам       ; домашні тварини        ; домашніми тваринами      ; домашніх тваринах       ;
предмети роздратування ; предметів роздратування ; предметам роздратування ; предмети роздратування ; предметами роздратування ; предметах роздратування ;
життєві неприємності   ; життєвих неприємностей  ; життєвим неприємностям  ; життєві неприємності   ; життєвими неприємностями ; життєвих неприємностях  ;
прання                 ; прання                  ; пранню                  ; прання                 ; пранням                  ; пранні                  ;
пітливість             ; пітливості              ; пітливості              ; пітливість             ; пітливістю               ; пітливості              ;
перевезення            ; перевезення             ; перевезенню             ; перевезення            ; перевезенням             ; перевезенні             ;
прибирання             ; прибирання              ; прибиранню              ; прибирання             ; прибиранням              ; прибиранні              ;
їжа без столів         ; їжі без столів          ; їжі без столів          ; їжу без столів         ; їжею без столів          ; їжі без столів          ;
зручні меблі           ; зручних меблів          ; зручним меблям          ; зручні меблі           ; зручними меблями         ; зручних меблях          ;
вишукані страви        ; вишуканих страв         ; вишуканим стравам       ; вишукані страви        ; вишуканими стравами      ; вишуканих стравах       ;
розкішні страви        ; розкішних страв         ; розкішним стравам       ; розкішні страви        ; розкішними стравами      ; розкішних стравах       ;
пемікан                ; пемікану                ; пемікану                ; пемікан                ; пеміканом                ; пемікані                ;
підкови                ; підков                  ; підковам                ; підкови                ; підковами                ; підковах                ;
відпочинок             ; відпочинку              ; відпочинку              ; відпочинок             ; відпочинком              ; відпочинку              ;
коханці                ; коханців                ; коханцям                ; коханці                ; коханцями                ; коханцях                ;
кохання                ; кохання                 ; коханню                 ; кохання                ; коханням                 ; коханні                 ;
лікувальний корінь     ; лікувального кореня     ; лікувальному кореню     ; лікувальний корінь     ; лікувальним коренем      ; лікувальному корені     ;
невдалі операції       ; невдалих операцій       ; невдалим операціям      ; невдалі операції       ; невдалими операціями     ; невдалих операціях      ;
блювання               ; блювання                ; блюванню                ; блювання               ; блюванням                ; блюванні                ;
настільні ігри         ; настільних ігор         ; настільним іграм        ; настільні ігри         ; настільними іграми       ; настільних іграх        ;
комп'ютерні ігри       ; комп'ютерних ігор       ; комп'ютерним іграм      ; комп'ютерні ігри       ; комп'ютерними іграми     ; комп'ютерних іграх      ;
