// {lookup: {термін, ключове слово}; Case; 1-7}
// {lookup: {термін}; Case; 3} -> 3-давальний (кому? чому?)
// {lookup: {PAWN_labelShort}; Case; 3}
// {lookup: {0_labelShort}; Case; 1}
// Case:
// 1-називний (хто? що?)
// 2-родовий (кого? чого?)
// 3-давальний (кому? чому?)
// 4-знахідний (кого? що?)
// 5-орудний (ким? чим?)
// 6-місцевий (на кому? на чому?)
// 7-кличний


// Це список категорій які є у файлі (для пошуку)
// Body, FactionDef, HeadiffDef, Headiff_BodyParts, OrderedTakeGroupDef, ... , RoomRoles

// Body

голова; голови; голові; голову; головою;
важка щелепа; важкої щелепи; важкій щелепі; важку щелепу; важкою щелепою; 
людський ніс; людського носа; людському носу; людський ніс; людським носом; 
свинячий ніс; свинячого носа; свинячому носу; свинячий ніс; свинячим носом; 
людський голос; людського голосу; людському голосу; людський голос; людським голосом; 
свинячий голос; свинячого голосу; свинячому голосу; свинячий голос; свинячим голосом; 
ревучий голос; ревучого голосу; ревучому голосу; ревучий голос; ревучим голосом; 

плодовитість; плодовитості; плодовитості; плодовитість; плодовитістю; 
сильний імунітет; сильного імунітету; сильному імунітету; сильний імунітет; сильним імунітетом; 
супер імунітет; супер імунітету; супер імунітету; супер імунітет; супер імунітетом; 
слабкий імунітет; слабкого імунітету; слабкому імунітету; слабкий імунітет; слабким імунітетом; 
стерильність; стерильності; стерильності; стерильність; стерильністю; 
токсино-стійкі легені; токсино-стійких легенів; токсино-стійким легеням; токсино-стійкі легені; токсино-стійкими легенями; 
токсино-імунні легені; токсино-імунних легенів; токсино-імунним легеням; токсино-імунні легені; токсино-імунними легенями; 
швидке загоєння ран; швидкого загоєння ран; швидкому загоєнню ран; швидке загоєння ран; швидким загоєнням ран; 
повільне загоєння ран; повільного загоєння ран; повільному загоєнню ран; повільне загоєння ран; повільним загоєнням ран; 
супершвидке загоєння ран; супершвидкого загоєння ран; супершвидкому загоєнню ран; супершвидке загоєння ран; супершвидким загоєнням ран; 

нічний зір; нічного зору; нічному зору; нічний зір; нічним зором; 
вогнестійкість; вогнестійкості; вогнестійкості; вогнестійкість; вогнестійкістю; 
інбредність; інбредності; інбредності; інбредність; інбредністю; 
сильна клітинна нестабільність; сильної клітинної нестабільності; сильній клітинній нестабільності; сильну клітинну нестабільність; сильною клітинною нестабільністю; 
легка клітинна нестабільність; легкої клітинної нестабільності; легкій клітинній нестабільності; легку клітинну нестабільність; легкою клітинною нестабільністю; 
жага до вбивства; жаги до вбивства; жазі до вбивства; жагу до вбивства; жагою до вбивства; 
добродушність; добродушності; добродушності; добродушність; добродушністю; 
оголена швидкість; оголеної швидкості; оголеній швидкості; оголену швидкість; оголеною швидкістю; 
короткозорість; короткозорості; короткозорості; короткозорість; короткозорістю; 
користь від забруднення; користі від забруднення; користі від забруднення; користь від забруднення; користю від забруднення; 
психічний зв'язок; психічного зв'язку; психічному зв'язку; психічний зв'язок; психічним зв'язком; 
міцне травлення; міцного травлення; міцному травленню; міцне травлення; міцним травленням; 
міцний шлунок; міцного шлунку; міцному шлунку; міцний шлунок; міцним шлунком; 
нестримність; нестримності; нестримності; нестримність; нестримністю; 
нездатність до насильства; нездатності до насильства; нездатності до насильства; нездатність до насильства; нездатністю до насильства; 

вічність; вічності; вічності; вічність; вічністю; 
архітний метаболізм; архітного метаболізму; архітному метаболізму; архітний метаболізм; архітним метаболізмом; 
безсмертя; безсмертя; безсмертю; безсмертя; безсмертям; 
летаргія; летаргії; летаргії; летаргію; летаргією; 
нестаріючість; нестаріючості; нестаріючості; нестаріючість; нестаріючістю; 
пірофобія; пірофобії; пірофобії; пірофобію; пірофобією; 
тонка шкіра; тонкої шкіри; тонкій шкірі; тонку шкіру; тонкою шкірою; 
гемогенне виснаження; гемогенного виснаження; гемогенному виснаження; гемогенне виснаження; гемогенним виснаженням; 
гемогенність; гемогенності; гемогенності; гемогенність; гемогенністю; 
ідеальний імунітет; ідеального імунітета; ідеальному імунітету ідеальний імунітет; ідеальним імунітетом; 
безшрамність; безшрамності; безшрамності; безшрамність; безшрамністю; 

агресивність; агресивності; агресивності; агресивність; агресивністю; 
спокій мерця; спокою мерця; спокою мерця; спокій мерця; спокоєм мерця; 
гіперагресивність; гіперагресивності; гіперагресивності; гіперагресивність; гіперагресивністю; 
неймовірна краса; неймовірної краси; неймовірній красі; неймовірну красу; неймовірною красою; 
краса; краси; красі; красу; красою; 
потворність; потворності; потворності; потворність; потворністю; 
неймовірна потворність; неймовірної потворності; неймовірній потворності; неймовірну потворність; неймовірною потворністю; 
делікатність; делікатності; делікатності; делікатність; делікатністю; 
здібність в навчанні; здібності в навчанні; здібності в навчанні; здібність в навчанні; здібністю в навчанні; 
повільність в навчанні; повільності в навчанні; повільності в навчанні; повільність в навчанні; повільністю в навчанні; 
високе лібідо; високого лібідо; високому лібідо; високе лібідо; високим лібідо; 
низьке лібідо; низького лібідо; низькому лібідо; низьке лібідо; низьким лібідо; 
низька потреба сну; низької потреба сну; низькій потребі сну; низьку потребу сну; низькою потребою сну; 
сильна звичність до тепла; сильної звичності до тепла; сильній звичності до тепла; сильну звичність до тепла; сильною звичністю до тепла; 
дискомфорт від тепла; дискомфорту від тепла; дискомфорту від тепла; дискомфорт від тепла; дискомфортом від тепла; 
звичність до тепла; звичності до тепла; звичності до тепла; звичність до тепла; звичністю до тепла; 
сила ближнього бою; сили ближнього бою; силі ближнього бою; силу ближнього бою; силою ближнього бою; 
слабкість ближнього бою; слабкості ближнього бою; слабкості ближнього бою; слабкість ближнього бою; слабкістю ближнього бою; 
сильна звичність до холоду; сильної звичності до холоду; сильній звичності до холоду; сильну звичність до холоду; сильною звичністю до холоду; 
звичність до холоду; звичності до холоду; звичності до холоду; звичність до холоду; звичністю до холоду; 
дискомфорт від холоду; дискомфорту від холоду; дискомфорту від холоду; дискомфорт від холоду; дискомфортом від холоду; 
депресивність; депресивності; депресивності; депресивність; депресивністю; 
оптимістичність; оптимістичності; оптимістичності; оптимістичність; оптимістичністю; 
песимістичність; песимістичності; песимістичності; песимістичність; песимістичністю; 
сангвінік; сангвініка; сангвініку; сангвінік; сангвініком; 
швидкість; швидкості; швидкості; швидкість; швидкістю; 
повільність; повільності; повільності; повільність; повільністю; 
висока швидкість; високої швидкості; високій швидкості; високу швидкість; високою швидкістю; 
безсоння; безсоння; безсонню; безсоння; безсонням; 
чутливість до болю; чутливості до болю; чутливості до болю; чутливість до болю; чутливістю до болю; 
менша чутливість болю; меншої чутливості болю; меншій чутливості болю; меншу чутливість болю; меншою чутливістю болю; 
психічна глухість; психічної глухості; психічній глухості; психічну глухість; психічною глухістю; 
психічна стійкість; психічної стійкості; психічній стійкості; психічну стійкість; психічною стійкістю; 
психічна чутливість; психічної чутливості; психічній чутливості; психічну чутливість; психічною чутливістю; 
сильна психічна чутливість; сильної психічної чутливості; сильній психічній чутливості; сильну психічну чутливість; сильною психічною чутливістю;  
міцний горішок; міцного горішка; міцному горішку; міцний горішок; міцним горішком; 
сонливість; сонливості; сонливості; сонливість; сонливістю; 
токсична стійкість; токсичної стійкості; токсичній стійкості; токсичну стійкість; токсичною стійкістю; 
імунітет до токсинів; імунітету до токсинів; імунітету до токсинів; імунітет до токсинів; імунітетом до токсинів; 
надмірна УФ-чутливість; надмірної УФ-чутливості; надмірній УФ-чутливості; надмірну УФ-чутливість; надмірною УФ-чутливістю; 
легка УФ-чутливість; легкої УФ-чутливості; легкій УФ-чутливості; легку УФ-чутливість; легкою УФ-чутливістю; 
сильна сонливість; сильної сонливості; сильній сонливості; сильну сонливість; сильною сонливістю; 

//HediffDef

глюкозидний ривок; глюкозидного ривку; глюкозидному ривку; глюкозидний ривок; глюкозидним ривком; 
посилений гемоген; посиленого гемогену; посиленому гемогену; посилений гемоген; посиленим гемогеном; 
пси-рідинний ривок; пси-рідинного ривку; пси-рідинному ривку; пси-рідинний ривок; пси-рідинним ривком; 

посилення механоїда; посилення механоїда; посиленню механоїда; посилення механоїда; посиленням механоїда; 

детоксикуюча нирка; детоксикуючої нирки; детоксикуючій нирці; детоксикуючу нирку; детоксикуючою ниркою; 
детоксикуюча легеня; детоксикуючої легені; детоксикуючій легені; детоксикуючу легеню; детоксикуючою легенею; 

хвороба немовлят; хвороби немовлят; хворобі немовлят; хворобу немовлят; хворобою немовлят; 
годування; годування; годуванню; годування; годуванням; 
ранкове нездужання; ранкового нездужання; ранковому нездужанню; ранкове нездужання; ранковим нездужанням; 
вилучено яйцеклітину; вилучено яйцеклітину; вилучено яйцеклітину; вилучено яйцеклітину; вилучено яйцеклітину; 
користь від забруднення; користі від забруднення; користі від забруднення; користь від забруднення; користю від забруднення; 
післяпологове виснаження; післяпологового виснаження; післяпологовому виснаженню; післяпологове виснаження; післяпологового виснаження; 
пологи (розширення); пологів (розширення); пологам (розширення); пологи (розширення); пологами (розширення); 
пологи (штовхання); пологів (штовхання); пологам (штовхання); пологи (штовхання); пологами (штовхання); 
вагітний настрій; вагітного настрою; вагітному настрою; вагітний настрій; вагітним настроєм; 
вагітність; вагітності; вагітності; вагітність; вагітністю; 
мертвонародження; мертвонародження; мертвонародженню; мертвонародження; мертвонародженням; 

кислотний опік; кислотного опіка; кислотному опіку; кислотний опік; кислотним опіком; 
слід від кровопивці; сліду від кровопивці; сліду від кровопивці; слід від кровопивці; слідом від кровопивці; 
імплантована ВМС; імплантованої ВМС; імплантованій ВМС; імплантовану ВМС; імплантованою ВМС; 
токсичний газ; токсичного газу; токсичному газу; токсичний газ; токсичним газом; 
перев'язка маткових труб; перев'язки маткових труб; перев'язці маткових труб; перев'язку маткових труб; перев'язкою маткових труб; 
вазектомія; вазектомії; вазектомії; вазектомія; вазектомією; 

вузол зв'язку; вузла зв'язку; вузлу зв'язку; вузол зв'язку; вузлом зв'язку; 
саблінк; саблінку; саблінку; саблінк; саблінком; 
процесор гестатора; процесора гестатора; процесору гестатора; процесор гестатора; процесором гестатора; 
мехлінк; мехлінку; мехлінку; мехлінк; мехлінком; 
дистанційний ремонт; дистанційного ремонту; дистанційному ремонту; дистанційний ремонт; дистанційним ремонтом; 
дистанційний щит; дистанційного щита; дистанційному щиту; дистанційний щит; дистанційним щитом; 
покращення ремонту; покращення ремонту; покращенню ремонту; покращення ремонту; покращенням ремонту; 

автономне заряджання; автономного заряджання; автономному заряджанню; автономне заряджання; автономним заряджанням; 

біоголод; біоголоду; біоголоду; біоголод; біоголодом; 
потреба летаргічного сну; потреби летаргічного сну; потребі летаргічного сну; потребу летаргічного сну; потребою летаргічного сну; 
хімічна залежність; хімічної залежності; хімічній залежності; хімічну залежність; хімічною залежністю; 
гемогенна тяга; гемогенної тяги; гемогенній тязі; гемогенну тягу; гемогенною тягою; 
перерваний летаргічний сон; перерваного летаргічного сну; перерваному летаргічному сну; перерваний летаргічний сон; перерваним летаргічним сном; 
психічний зв'язок; психічного зв'язку; психічному зв'язку; психічний зв'язок; психічним зв'язком; 
розірваний психічний зв'язок; розірваного психічного зв'язку; розірваному психічному зв'язку; розірваний психічний зв'язок; розірваним психічним зв'язком; 
регенеративна кома; регенеративної коми; регенеративній комі; регенеративну кому; регенеративною комою; 
недуг від сканування; недугу від сканування; недугу від сканування; недуг від сканування; недугом від сканування; 
вирощування в інкубаторі; вирощування в інкубаторі; вирощуванню в інкубаторі; вирощування в інкубаторі; вирощуванням в інкубаторі; 
навчання в інкубаторі; навчання в інкубаторі; навчанню в інкубаторі; навчання в інкубаторі; навчанням в інкубаторі; 
ксенозародкова кома; ксенозародкової коми; ксенозародковій комі; ксенозародкову кому; ксенозародковою комою; 
шок втрати генів; шоку втрати генів; шоку втрати генів; шок втрати генів; шоком втрати генів; 
відновлення генів; відновлення генів; відновленню генів; відновлення генів; відновленням генів; 

//PawnKindDef

селянин; селянина; селянину; селянин; селянином; 
селяни; селян; селянам; селян; селянами; 
покутник; покутника; покутнику; покутника; покутником; 
покутники; покутників; покутникам; покутників; покутниками; 

свино-найманець; свино-найманця; свино-найманцю; свино-найманця; свино-найманцем; 
свино-найманці; свино-найманців; свино-найманцям; свино-найманців; свино-найманцями; 
свино-стрілець; свино-стрільця; свино-стрільцю; свино-стрільця; свино-стрільцем; 
свино-стрільці; свино-стрільців; свино-стрільцям; свино-стрільців; свино-стрільцями; 
свинко-дитина; свинко-дитини; свинко-дитині; свинко-дитину; свинко-дитиною; 
свинко-діти; свинко-дітей; свинко-дітям; свинко-дітей; свинко-дітьми; 

механізатор; механізатора; механізатору; механізатора; механізатором; 
механізатори; механізаторів; механізаторам; механізаторів; механізаторами; 
сангвофаг; сангвофага; сангвофагу; сангвофага; сангвофагом; 
сангвофаги; сангвофагів; сангвофагам; сангвофагів; сангвофагами; 
тралл; тралла; траллу; тралла; траллом; 
тралли; траллів; траллам; траллів; траллами; 
дитя племені; дитя племені; дитю племені; дитя племені; дитям племені; 
діти племені; дітей племені; дітям племені; дітей племені; дітьми племені; 
дитина; дитини; дитині; дитину; дитиною; 
діти; дітей; дітям; дітей; дітьми; 

сміттяр-гренадер; сміттяря-гренадера; сміттярю-гренадеру; сміттяря-гренадере; сміттярем-гренадером; 
сміттярі-гренадери; сміттярів-гренадерів; сміттярям-гренадерам; сміттярів-гренадерів; сміттярями-гренадерами; 
сміттяр-найманець; сміттяря-найманця; сміттярю-найманцю; сміттяря-найманця; сміттярем-найманцем; 
сміттярі-найманці; сміттярів-найманців; сміттярям-найманцям; сміттярів-найманців; сміттярями-найманцями; 
сміттяр-стрілець; сміттяря-стрільця; сміттярю-стрільцю; сміттяря-стрільця; сміттярем-стрільцем; 
сміттярі-стрільці; сміттярів-стрільців; сміттярям-стрільцям; сміттярів-стрільців; сміттярями-стрільцями; 
важкий сміттяр; важкого сміттяря; важкому сміттярю; важкого сміттяря; важким сміттярем; 
важкі сміттярі; важких сміттярів; важким сміттярям; важких сміттярів; важкими сміттярями; 
сміттяр-рубака; сміттяря-рубаки; сміттярю-рубаці; сміттяря-рубаку; сміттярем-рубакою; 
сміттярі-рубаки; сміттярів-рубак; сміттярям-рубакам; сміттярів-рубак; сміттярями-рубаками; 
головний сміттяр; головного сміттяря; головному сміттярю; головного сміттяря; головним сміттярем; 
головні сміттярі; головних сміттярів; головним сміттярям; головних сміттярів; головними сміттярями; 

токсилопа; токсилопи; токсилопі; токсилопу; токсилопою; 
токсилопи; токсилоп; токсилопам; токсилоп; токсилопами; 
теля токсилопи; теля токсилопи; телю токсилопи; теля токсилопи; телям токсилопи; 
телята токсилопи; телят токсилопи; телятам токсилопи; телят токсилопи; телятами токсилопи; 
молода токсилопа; молодої токсилопи; молодій токсилопі; молоду токсилопу; молодою токсилопою; 
токсощур; токсощура; токсощуру; токсощура; токсощуром; 
токсощури; токсощурів; токсощурам; токсощурів; токсощурами; 
токсощуря; токсощуря; токсощурю; токсощуря; токсощурям; 
молодий токсощур; молодого токсощура; молодому токсощуру; молодого токсощура; молодим токсощуром; 

тунельник; тунельника; тунельнику; тунельника; тунельником; 
тунельники; тунельників; тунельникам; тунельників; тунельниками; 

землероб; землероба; землеробу; землероба; землеробом; 
землероби; землеробів; землеробам; землеробів; землеробами; 
будівельник; будівельника; будівельнику; будівельника; будівельником; 
будівельники; будівельників; будівельникам; будівельників; будівельниками; 
виробник; виробника; виробнику; виробника; виробником; 
виробники; виробників; виробникам; виробників; виробниками; 
носій; носія; носію; носія; носієм; 
носії; носіїв; носіям; носіїв; носіями; 
силовик; силовика; силовику; силовика; силовиком; 
силовики; силовиків; силовикам; силовиків; силовиками; 
парамедик; парамедика; парамедику; парамедика; парамедиком; 
парамедики; парамедиків; парамедикам; парамедиків; парамедиками; 
бойовий їжак; бойового їжака; бойовому їжаку; бойового їжака; бойовим їжаком; 
бойові їжаки; бойових їжаків; бойовим їжакам; бойових їжаків; бойовими їжаками; 

сотник; сотника; сотнику; сотника; сотником; 
сотники; сотників; сотникам; сотників; сотниками; 
легіонер; легіонера; легіонеру; легіонера; легіонером; 
легіонери; легіонерів; легіонерам; легіонерів; легіонерами; 
обпалювач; обпалювача; обпалювачу; обпалювача; обпалювачем; 
обпалювачі; обпалювачів; обпалювачам; обпалювачів; обпалювачами; 
тессерон; тессерона; тессерону; тессерона; тессероном; 
тессерони; тессеронів; тессеронам; тессеронів; тессеронами; 

центуріон; центуріона; центуріону; центуріона; центуріоном; 
центуріони; центуріонів; центуріонам; центуріонів; центуріонами; 
диявол; диявола; дияволу; диявола; дияволом; 
дияволи; дияволів; дияволам; дияволів; дияволами; 
королева війни; королеви війни; королеві війни; королеву війни; королевою війни; 
королеви війни; королев війни; королевам війни; королев війни; королевами війни; 

//ResearchProjectDef

базові мех-технології; базових мех-технологій; базовим мех-технологіям; базові мех-технології; базовими мех-технологіями; 
просунуті мех-технології; просунутих мех-технологій; просунутим мех-технологіям; просунуті мех-технології; просунутими мех-технологіями; 
стандартні мех-технології; стандартних мех-технологій; стандартним мех-технологіям; стандартні мех-технології; стандартними мех-технологіями; 
ультра мех-технології; ультра мех-технологій; ультра мех-технологіям; ультра мех-технології; ультра мех-технологіями; 
розщеплювач відходів; розщеплювача відходів; розщеплювачу відходів; розщеплювача відходів; розщеплювачем відходів; 

архогенетика; архогенетики; архогенетиці; архогенетику; архогенетикою; 
процедури при безплідді; процедур при безплідді; процедурам при безплідді; процедури при безплідді; процедурамии при безплідді; 
генний процесор; генного процесора; генному процесору; генний процесор; генним процесором; 
інкубатори; інкубаторів; інкубаторам; інкубатори; інкубаторами; 
фільтрація токсинів; фільтрації токсинів; фільтрації токсинів; фільтрацію токсинів; фільтрацією токсинів; 
токсичний газ; токсичного газу; токсичному газу; токсичний газ; токсичним газом; 
токсичні генератори; токсичних генераторів; токсичним генераторам; токсичні генератори; токсичними генераторами; 
ксеногенетика; ксеногенетики; ксеногенетиці; ксеногенетику; ксеногенетикою; 

//SitePartDef

старовинний комплекс механізатора; старовинного комплексу механізатора; старовинному комплексу механізатора; старовинний комплекс механізатора; старовинним комплексом механізатора; 

//ThingDef

кератинові шипи; кератинових шипів; кератиновим шипам; кератинові шипи; кератиновими шипами; 
кислота; кислоти; кислоті; кислоту; кислотою; 
піна; піни; піні; піну; піною; 

дитячий шолом; дитячого шолому; дитячому шолому; дитячий шолом; дитячим шоломом; 
дитячі штани; дитячих штанів; дитячим штанам; дитячі штани; дитячими штанами; 
дитяча куртка; дитячої куртки; дитячій куртці; дитячу куртку; дитячою курткою; 
дитячий комбінезон; дитячого комбінезону; дитячому комбінезону; дитячий комбінезон; дитячим комбінезоном; 
дитяча футболка; дитячої футболки; дитячій футболці; дитячу футболку; дитячою футболкою; 
дитячий племінний одяг; дитячого племінного одягу; дитячому племінному одягу; дитячий племінний одяг; дитячим племінним одягом; 

безпровідна гарнітура; безпровідної гарнітури; безпровідній гарнітурі; безпровідну гарнітуру; безпровідною гарнітурою; 
шолом мех-командира; шолома мех-командира; шолому мех-командира; шолом мех-командира; шоломом мех-командира; 
шолом мех-лорда; шолома мех-лорда; шолому мех-лорда; шолом мех-лорда; шоломом мех-лорда; 
масивна гарнітура; масивної гарнітури; масивній гарнітурі; масивну гарнітуру; масивною гарнітурою; 
лицьова маска; лицьової маски; лицьовій масці; лицьову маску; лицьовою маскою; 
протигаз; протигазу; протигазу; протигаз; протигазом; 
інтегрована гарнітура; інтегрованої гарнітури; інтегрованій гарнітурі; інтегровану гарнітуру; інтегрованою гарнітурою; 

блок важкого щита; блоку важкого щита; блоку важкого щита; блок важкого щита; блоком важкого щита; 

старовинний вузол зв'язку; старовинного вузла зв'язку; старовинному вузлу зв'язку; старовинний вузол зв'язку; старовинним вузлом зв'язку; 
старовинна базова зарядна станція; старовинної базової зарядної станції; старовинній базовій зарядній станції; старовинну базову зарядну станцію; старовинною базовою зарядною станцією; 
старовинний великий гестатор; старовинного великого гестатора; старовинному великому гестатору; старовинний великий гестатор; старовинним великим гестатором; 
старовинний гестатор; старовинного гестатора; старовинному гестатору; старовинний гестатор; старовинним гестатором; 
старовинна стандартна зарядна станція; старовинної стандартної зарядної станції; старовинній стандартній зарядній станції; старовинну стандартну зарядну станцію; старовинною стандартною зарядною станцією;
старовинний генератор токсинів; старовинного генератора токсинів; старовинному генератору токсинів; старовинний генератор токсинів; старовинним генератором токсинів; 

старовинна гармата екзострайдера; старовинної гармати екзострайдера; старовинній гарматі екзострайдера; старовинну гармату екзострайдера; старовинною гарматою екзострайдера; 
старовинна голова екзострайдера; старовинної голови екзострайдера; старовинній голові екзострайдера; старовинну голову екзострайдера; старовинною головою екзострайдера; 
старовинна нога екзострайдера; старовинної ноги екзострайдера; старовинній нозі екзострайдера; старовинну ногу екзострайдера; старовинною ногою екзострайдера; 
серцевина старовинного екзостридера; серцевини старовинного екзостридера; серцевині старовинного екзостридера; серцевину старовинного екзостридера; серцевиною старовинного екзостридера; 
старовинний механоїд; старовинного механоїда; старовинному механоїду; старовинного механоїда; старовинним механоїдом; 

прискорювач летаргії; прискорювача летаргії; прискорювачу летаргії; прискорювач летаргії; прискорювачем летаргії; 
труна летаргії; труни летаргії; труні летаргії; труну летаргії; труною летаргії; 
глюкозидна помпа; глюкозидної помпи; глюкозидній помпі; глюкозидну помпу; глюкозидною помпою; 
гемогенний підсилювач; гемогенного підсилювача; гемогенному підсилювачу; гемогенний підсилювач; гемогенним підсилювачем; 
гемопомпа; гемопомпи; гемопомпі; гемопомпу; гемопомпою; 
психорідинна помпа; психорідинної помпи; психорідиннів помпі; психорідинну помпу; психорідинною помпою; 

дитяча прикраса; дитячої прикраси; дитячій прикрасі; дитячу прикрасу; дитячою прикрасою; 
дитяче спальне місце; дитячого спального місця; дитячому спальному місцю; дитяче спальне місце; дитячим спальним місцем; 
класна дошка; класної дошки; класній дошці; класну дошку; класною дошкою; 
ліжечко; ліжечка; ліжечку; ліжечко; ліжечком; 
шкільна парта; шкільної парти; шкільній парті; шкільну парту; шкільною партою; 
коробка з іграшками; коробки з іграшками; коробці з іграшками; коробку з іграшками; коробкою з іграшками; 

мех-діапазонна антена; мех-діапазонної антени; мех-діапазонній антені; мех-діапазонну антену; мех-діапазонною антеною; 
збирач генів; збирача генів; збирачу генів; збирач генів; збирачем генів;
банк генів; банку генів; банку генів; банк генів; банком генів; 
генний екстрактор; генного екстрактора; генному екстрактору; генний екстрактор; генним екстрактором; 
генний процесор; генного процесора; генному процесору; генний процесор; генним процесором; 
камера вирощування; камери вирощування; камері вирощування; камеру вирощування; камерою вирощування; 
мех-діапазонна станція; мех-діапазонної станції; мех-діапазонній станції; мех-діапазонну станцію; мех-діапазонною станцією; 
підсилювач механоїдів; підсилювача механоїдів; підсилювачу механоїдів; підсилювач механоїдів; підсилювачем механоїдів; 
помпа для забруднень; помпи для забруднень; помпі для забруднень; помпу для забруднень; помпою для забруднень; 
кривавий смолоскип; кривавого смолоскипа; кривавому смолоскипу; кривавий смолоскип; кривавим смолоскипом; 
розбитий корабель механізатора; розбитого корабля механізатора; розбитому кораблю механізатора; розбитий корабель механізатора; розбитим кораблем механізатора; 
